idea,nisza,bucket,narzedzie,archetyp,plausible,score
kosztorys materiałowy dla: pszczelarze,pszczelarze,hobby,kosztorys materiałowy,pricebook,0,0
fiszki/drill nauki dla: pszczelarze,pszczelarze,hobby,fiszki/drill nauki,flashcard,0,0
generator ćwiczeń dla: pszczelarze,pszczelarze,hobby,generator ćwiczeń,flashcard,0,0
trening powtórek dla: pszczelarze,pszczelarze,hobby,trening powtórek,flashcard,0,0
quiz tematyczny dla: pszczelarze,pszczelarze,hobby,quiz tematyczny,flashcard,0,0
karty pamięciowe dla: pszczelarze,pszczelarze,hobby,karty pamięciowe,flashcard,0,0
generator dokumentu dla: pszczelarze,pszczelarze,hobby,generator dokumentu,generator,0,0
generator etykiet do druku dla: pszczelarze,pszczelarze,hobby,generator etykiet do druku,generator,0,0
generator certyfikatów dla: pszczelarze,pszczelarze,hobby,generator certyfikatów,generator,0,0
generator planu dla: pszczelarze,pszczelarze,hobby,generator planu,generator,0,0
generator listy dla: pszczelarze,pszczelarze,hobby,generator listy,generator,0,0
losowanie z regułami dla: pszczelarze,pszczelarze,hobby,losowanie z regułami,randomizer,1,12
picker decyzji dla: pszczelarze,pszczelarze,hobby,picker decyzji,randomizer,1,12
rotacyjny wybór dla: pszczelarze,pszczelarze,hobby,rotacyjny wybór,randomizer,1,12
randomizer grupowy dla: pszczelarze,pszczelarze,hobby,randomizer grupowy,randomizer,1,12
koło wyboru dla: pszczelarze,pszczelarze,hobby,koło wyboru,randomizer,1,12
kalkulator podziału dla: pszczelarze,pszczelarze,hobby,kalkulator podziału,splitter,0,0
splitter kosztów/majątku dla: pszczelarze,pszczelarze,hobby,splitter kosztów/majątku,splitter,0,0
rozliczenie grupowe dla: pszczelarze,pszczelarze,hobby,rozliczenie grupowe,splitter,0,0
podział równościowy dla: pszczelarze,pszczelarze,hobby,podział równościowy,splitter,0,0
kalkulator wyrównań dla: pszczelarze,pszczelarze,hobby,kalkulator wyrównań,splitter,0,0
kalkulator rozmiaru/ilości dla: pszczelarze,pszczelarze,hobby,kalkulator rozmiaru/ilości,sizing,1,13
kalkulator metrażu dla: pszczelarze,pszczelarze,hobby,kalkulator metrażu,sizing,1,13
przelicznik zapotrzebowania dla: pszczelarze,pszczelarze,hobby,przelicznik zapotrzebowania,sizing,1,13
kalkulator porcji dla: pszczelarze,pszczelarze,hobby,kalkulator porcji,sizing,1,13
kalkulator wymiarów dla: pszczelarze,pszczelarze,hobby,kalkulator wymiarów,sizing,1,13
rotacja/planer cykliczny dla: pszczelarze,pszczelarze,hobby,rotacja/planer cykliczny,rotation,1,12
układacz harmonogramu dla: pszczelarze,pszczelarze,hobby,układacz harmonogramu,rotation,1,12
plan rotacji dla: pszczelarze,pszczelarze,hobby,plan rotacji,rotation,1,12
grafik powtarzalny dla: pszczelarze,pszczelarze,hobby,grafik powtarzalny,rotation,1,12
rozkład tygodniowy dla: pszczelarze,pszczelarze,hobby,rozkład tygodniowy,rotation,1,12
dziennik branżowy dla: pszczelarze,pszczelarze,hobby,dziennik branżowy,logbook,1,11
logbook sesji dla: pszczelarze,pszczelarze,hobby,logbook sesji,logbook,1,11
rejestr inspekcji dla: pszczelarze,pszczelarze,hobby,rejestr inspekcji,logbook,1,11
karta klienta dla: pszczelarze,pszczelarze,hobby,karta klienta,logbook,1,11
historia serwisowa dla: pszczelarze,pszczelarze,hobby,historia serwisowa,logbook,1,11
tabela referencyjna dla: akwaryści,akwaryści,hobby,tabela referencyjna,reference,1,13
ściąga norm/parametrów dla: akwaryści,akwaryści,hobby,ściąga norm/parametrów,reference,1,13
lookup specyfikacji dla: akwaryści,akwaryści,hobby,lookup specyfikacji,reference,1,13
podręczna baza wiedzy dla: akwaryści,akwaryści,hobby,podręczna baza wiedzy,reference,1,13
tabela porównawcza dla: akwaryści,akwaryści,hobby,tabela porównawcza,reference,1,13
kalkulator dawkowania dla: akwaryści,akwaryści,hobby,kalkulator dawkowania,dosage,1,14
kalkulator proporcji mieszanki dla: akwaryści,akwaryści,hobby,kalkulator proporcji mieszanki,dosage,1,14
kalkulator stężeń dla: akwaryści,akwaryści,hobby,kalkulator stężeń,dosage,1,14
przelicznik receptury dla: akwaryści,akwaryści,hobby,przelicznik receptury,dosage,1,14
kalkulator składników dla: akwaryści,akwaryści,hobby,kalkulator składników,dosage,1,14
kalkulator kosztów dla: akwaryści,akwaryści,hobby,kalkulator kosztów,calculator,1,13
kalkulator materiałów dla: akwaryści,akwaryści,hobby,kalkulator materiałów,calculator,1,13
kalkulator opłacalności dla: akwaryści,akwaryści,hobby,kalkulator opłacalności,calculator,1,13
kalkulator zużycia dla: akwaryści,akwaryści,hobby,kalkulator zużycia,calculator,1,13
kalkulator czasu dla: akwaryści,akwaryści,hobby,kalkulator czasu,calculator,1,13
konwerter jednostek dla: akwaryści,akwaryści,hobby,konwerter jednostek,converter,1,12
przelicznik miar dla: akwaryści,akwaryści,hobby,przelicznik miar,converter,1,12
konwerter formatów dla: akwaryści,akwaryści,hobby,konwerter formatów,converter,1,12
przelicznik walut-stały dla: akwaryści,akwaryści,hobby,przelicznik walut-stały,converter,1,12
konwerter rozmiarów dla: akwaryści,akwaryści,hobby,konwerter rozmiarów,converter,1,12
kosztorys/wycena dla: akwaryści,akwaryści,hobby,kosztorys/wycena,estimator,1,12
szacowanie nakładu dla: akwaryści,akwaryści,hobby,szacowanie nakładu,estimator,1,12
kalkulator oferty dla: akwaryści,akwaryści,hobby,kalkulator oferty,estimator,1,12
wycena na papierze dla: akwaryści,akwaryści,hobby,wycena na papierze,estimator,1,12
estymacja czasu robót dla: akwaryści,akwaryści,hobby,estymacja czasu robót,estimator,1,12
tracker postępu dla: akwaryści,akwaryści,hobby,tracker postępu,tracker,1,11
monitor nawyku dla: akwaryści,akwaryści,hobby,monitor nawyku,tracker,1,11
śledzenie wyników dla: akwaryści,akwaryści,hobby,śledzenie wyników,tracker,1,11
tracker pomiarów dla: akwaryści,akwaryści,hobby,tracker pomiarów,tracker,1,11
licznik serii dla: akwaryści,akwaryści,hobby,licznik serii,tracker,1,11
dziennik objawów → PDF dla lekarza dla: akwaryści,akwaryści,hobby,dziennik objawów → PDF dla lekarza,symptomdiary,0,0
dziennik triggerów dla: akwaryści,akwaryści,hobby,dziennik triggerów,symptomdiary,0,0
log epizodów choroby dla: akwaryści,akwaryści,hobby,log epizodów choroby,symptomdiary,0,0
dziennik diety i reakcji dla: akwaryści,akwaryści,hobby,dziennik diety i reakcji,symptomdiary,0,0
raport dla specjalisty dla: akwaryści,akwaryści,hobby,raport dla specjalisty,symptomdiary,0,0
dziennik aktywności dla: akwaryści,akwaryści,hobby,dziennik aktywności,log,1,10
log zdarzeń dla: akwaryści,akwaryści,hobby,log zdarzeń,log,1,10
rejestr czynności dla: akwaryści,akwaryści,hobby,rejestr czynności,log,1,10
notatnik tematyczny dla: akwaryści,akwaryści,hobby,notatnik tematyczny,log,1,10
kronika dla: akwaryści,akwaryści,hobby,kronika,log,1,10
katalog kolekcji dla: akwaryści,akwaryści,hobby,katalog kolekcji,inventory,1,10
ewidencja zasobów dla: akwaryści,akwaryści,hobby,ewidencja zasobów,inventory,1,10
inwentarz wyposażenia dla: akwaryści,akwaryści,hobby,inwentarz wyposażenia,inventory,1,10
baza sprzętu dla: akwaryści,akwaryści,hobby,baza sprzętu,inventory,1,10
spis zbiorów dla: akwaryści,akwaryści,hobby,spis zbiorów,inventory,1,10
lista kontrolna dla: akwaryści,akwaryści,hobby,lista kontrolna,checklist,0,0
checklist inspekcji dla: akwaryści,akwaryści,hobby,checklist inspekcji,checklist,0,0
protokół odbioru dla: akwaryści,akwaryści,hobby,protokół odbioru,checklist,0,0
lista BHP dla: akwaryści,akwaryści,hobby,lista BHP,checklist,0,0
karta kontroli jakości dla: akwaryści,akwaryści,hobby,karta kontroli jakości,checklist,0,0
planer projektu dla: akwaryści,akwaryści,hobby,planer projektu,planner,0,0
plan krok-po-kroku dla: akwaryści,akwaryści,hobby,plan krok-po-kroku,planner,0,0
organizator zadań dla: akwaryści,akwaryści,hobby,organizator zadań,planner,0,0
planer wydarzenia dla: akwaryści,akwaryści,hobby,planer wydarzenia,planner,0,0
harmonogram przygotowań dla: akwaryści,akwaryści,hobby,harmonogram przygotowań,planner,0,0
tracker terminów ważności dla: akwaryści,akwaryści,hobby,tracker terminów ważności,expiry,0,0
alert wygasania uprawnień dla: akwaryści,akwaryści,hobby,alert wygasania uprawnień,expiry,0,0
przypominacz przeglądów dla: akwaryści,akwaryści,hobby,przypominacz przeglądów,expiry,0,0
monitor dat odnowień dla: akwaryści,akwaryści,hobby,monitor dat odnowień,expiry,0,0
kalendarz obowiązków dla: akwaryści,akwaryści,hobby,kalendarz obowiązków,expiry,0,0
cennik usług dla: akwaryści,akwaryści,hobby,cennik usług,pricebook,0,0
książka cen dla: akwaryści,akwaryści,hobby,książka cen,pricebook,0,0
kalkulator marży dla: akwaryści,akwaryści,hobby,kalkulator marży,pricebook,0,0
tabela stawek dla: akwaryści,akwaryści,hobby,tabela stawek,pricebook,0,0
kosztorys materiałowy dla: akwaryści,akwaryści,hobby,kosztorys materiałowy,pricebook,0,0
fiszki/drill nauki dla: akwaryści,akwaryści,hobby,fiszki/drill nauki,flashcard,0,0
generator ćwiczeń dla: akwaryści,akwaryści,hobby,generator ćwiczeń,flashcard,0,0
trening powtórek dla: akwaryści,akwaryści,hobby,trening powtórek,flashcard,0,0
quiz tematyczny dla: akwaryści,akwaryści,hobby,quiz tematyczny,flashcard,0,0
karty pamięciowe dla: akwaryści,akwaryści,hobby,karty pamięciowe,flashcard,0,0
generator dokumentu dla: akwaryści,akwaryści,hobby,generator dokumentu,generator,0,0
generator etykiet do druku dla: akwaryści,akwaryści,hobby,generator etykiet do druku,generator,0,0
generator certyfikatów dla: akwaryści,akwaryści,hobby,generator certyfikatów,generator,0,0
generator planu dla: akwaryści,akwaryści,hobby,generator planu,generator,0,0
generator listy dla: akwaryści,akwaryści,hobby,generator listy,generator,0,0
losowanie z regułami dla: akwaryści,akwaryści,hobby,losowanie z regułami,randomizer,1,12
picker decyzji dla: akwaryści,akwaryści,hobby,picker decyzji,randomizer,1,12
rotacyjny wybór dla: akwaryści,akwaryści,hobby,rotacyjny wybór,randomizer,1,12
randomizer grupowy dla: akwaryści,akwaryści,hobby,randomizer grupowy,randomizer,1,12
koło wyboru dla: akwaryści,akwaryści,hobby,koło wyboru,randomizer,1,12
kalkulator podziału dla: akwaryści,akwaryści,hobby,kalkulator podziału,splitter,0,0
splitter kosztów/majątku dla: akwaryści,akwaryści,hobby,splitter kosztów/majątku,splitter,0,0
rozliczenie grupowe dla: akwaryści,akwaryści,hobby,rozliczenie grupowe,splitter,0,0
podział równościowy dla: akwaryści,akwaryści,hobby,podział równościowy,splitter,0,0
kalkulator wyrównań dla: akwaryści,akwaryści,hobby,kalkulator wyrównań,splitter,0,0
kalkulator rozmiaru/ilości dla: akwaryści,akwaryści,hobby,kalkulator rozmiaru/ilości,sizing,1,13
kalkulator metrażu dla: akwaryści,akwaryści,hobby,kalkulator metrażu,sizing,1,13
przelicznik zapotrzebowania dla: akwaryści,akwaryści,hobby,przelicznik zapotrzebowania,sizing,1,13
kalkulator porcji dla: akwaryści,akwaryści,hobby,kalkulator porcji,sizing,1,13
kalkulator wymiarów dla: akwaryści,akwaryści,hobby,kalkulator wymiarów,sizing,1,13
rotacja/planer cykliczny dla: akwaryści,akwaryści,hobby,rotacja/planer cykliczny,rotation,1,12
układacz harmonogramu dla: akwaryści,akwaryści,hobby,układacz harmonogramu,rotation,1,12
plan rotacji dla: akwaryści,akwaryści,hobby,plan rotacji,rotation,1,12
grafik powtarzalny dla: akwaryści,akwaryści,hobby,grafik powtarzalny,rotation,1,12
rozkład tygodniowy dla: akwaryści,akwaryści,hobby,rozkład tygodniowy,rotation,1,12
dziennik branżowy dla: akwaryści,akwaryści,hobby,dziennik branżowy,logbook,1,11
logbook sesji dla: akwaryści,akwaryści,hobby,logbook sesji,logbook,1,11
rejestr inspekcji dla: akwaryści,akwaryści,hobby,rejestr inspekcji,logbook,1,11
karta klienta dla: akwaryści,akwaryści,hobby,karta klienta,logbook,1,11
historia serwisowa dla: akwaryści,akwaryści,hobby,historia serwisowa,logbook,1,11
tabela referencyjna dla: piwowarzy domowi,piwowarzy domowi,hobby,tabela referencyjna,reference,1,13
ściąga norm/parametrów dla: piwowarzy domowi,piwowarzy domowi,hobby,ściąga norm/parametrów,reference,1,13
lookup specyfikacji dla: piwowarzy domowi,piwowarzy domowi,hobby,lookup specyfikacji,reference,1,13
podręczna baza wiedzy dla: piwowarzy domowi,piwowarzy domowi,hobby,podręczna baza wiedzy,reference,1,13
tabela porównawcza dla: piwowarzy domowi,piwowarzy domowi,hobby,tabela porównawcza,reference,1,13
kalkulator dawkowania dla: piwowarzy domowi,piwowarzy domowi,hobby,kalkulator dawkowania,dosage,1,14
kalkulator proporcji mieszanki dla: piwowarzy domowi,piwowarzy domowi,hobby,kalkulator proporcji mieszanki,dosage,1,14
kalkulator stężeń dla: piwowarzy domowi,piwowarzy domowi,hobby,kalkulator stężeń,dosage,1,14
przelicznik receptury dla: piwowarzy domowi,piwowarzy domowi,hobby,przelicznik receptury,dosage,1,14
kalkulator składników dla: piwowarzy domowi,piwowarzy domowi,hobby,kalkulator składników,dosage,1,14
kalkulator kosztów dla: piwowarzy domowi,piwowarzy domowi,hobby,kalkulator kosztów,calculator,1,13
kalkulator materiałów dla: piwowarzy domowi,piwowarzy domowi,hobby,kalkulator materiałów,calculator,1,13
kalkulator opłacalności dla: piwowarzy domowi,piwowarzy domowi,hobby,kalkulator opłacalności,calculator,1,13
kalkulator zużycia dla: piwowarzy domowi,piwowarzy domowi,hobby,kalkulator zużycia,calculator,1,13
kalkulator czasu dla: piwowarzy domowi,piwowarzy domowi,hobby,kalkulator czasu,calculator,1,13
konwerter jednostek dla: piwowarzy domowi,piwowarzy domowi,hobby,konwerter jednostek,converter,1,12
przelicznik miar dla: piwowarzy domowi,piwowarzy domowi,hobby,przelicznik miar,converter,1,12
konwerter formatów dla: piwowarzy domowi,piwowarzy domowi,hobby,konwerter formatów,converter,1,12
przelicznik walut-stały dla: piwowarzy domowi,piwowarzy domowi,hobby,przelicznik walut-stały,converter,1,12
konwerter rozmiarów dla: piwowarzy domowi,piwowarzy domowi,hobby,konwerter rozmiarów,converter,1,12
kosztorys/wycena dla: piwowarzy domowi,piwowarzy domowi,hobby,kosztorys/wycena,estimator,1,12
szacowanie nakładu dla: piwowarzy domowi,piwowarzy domowi,hobby,szacowanie nakładu,estimator,1,12
kalkulator oferty dla: piwowarzy domowi,piwowarzy domowi,hobby,kalkulator oferty,estimator,1,12
wycena na papierze dla: piwowarzy domowi,piwowarzy domowi,hobby,wycena na papierze,estimator,1,12
estymacja czasu robót dla: piwowarzy domowi,piwowarzy domowi,hobby,estymacja czasu robót,estimator,1,12
tracker postępu dla: piwowarzy domowi,piwowarzy domowi,hobby,tracker postępu,tracker,1,11
monitor nawyku dla: piwowarzy domowi,piwowarzy domowi,hobby,monitor nawyku,tracker,1,11
śledzenie wyników dla: piwowarzy domowi,piwowarzy domowi,hobby,śledzenie wyników,tracker,1,11
tracker pomiarów dla: piwowarzy domowi,piwowarzy domowi,hobby,tracker pomiarów,tracker,1,11
licznik serii dla: piwowarzy domowi,piwowarzy domowi,hobby,licznik serii,tracker,1,11
dziennik objawów → PDF dla lekarza dla: piwowarzy domowi,piwowarzy domowi,hobby,dziennik objawów → PDF dla lekarza,symptomdiary,0,0
dziennik triggerów dla: piwowarzy domowi,piwowarzy domowi,hobby,dziennik triggerów,symptomdiary,0,0
log epizodów choroby dla: piwowarzy domowi,piwowarzy domowi,hobby,log epizodów choroby,symptomdiary,0,0
dziennik diety i reakcji dla: piwowarzy domowi,piwowarzy domowi,hobby,dziennik diety i reakcji,symptomdiary,0,0
raport dla specjalisty dla: piwowarzy domowi,piwowarzy domowi,hobby,raport dla specjalisty,symptomdiary,0,0
dziennik aktywności dla: piwowarzy domowi,piwowarzy domowi,hobby,dziennik aktywności,log,1,10
log zdarzeń dla: piwowarzy domowi,piwowarzy domowi,hobby,log zdarzeń,log,1,10
rejestr czynności dla: piwowarzy domowi,piwowarzy domowi,hobby,rejestr czynności,log,1,10
notatnik tematyczny dla: piwowarzy domowi,piwowarzy domowi,hobby,notatnik tematyczny,log,1,10
kronika dla: piwowarzy domowi,piwowarzy domowi,hobby,kronika,log,1,10
katalog kolekcji dla: piwowarzy domowi,piwowarzy domowi,hobby,katalog kolekcji,inventory,1,10
ewidencja zasobów dla: piwowarzy domowi,piwowarzy domowi,hobby,ewidencja zasobów,inventory,1,10
inwentarz wyposażenia dla: piwowarzy domowi,piwowarzy domowi,hobby,inwentarz wyposażenia,inventory,1,10
baza sprzętu dla: piwowarzy domowi,piwowarzy domowi,hobby,baza sprzętu,inventory,1,10
spis zbiorów dla: piwowarzy domowi,piwowarzy domowi,hobby,spis zbiorów,inventory,1,10
lista kontrolna dla: piwowarzy domowi,piwowarzy domowi,hobby,lista kontrolna,checklist,0,0
checklist inspekcji dla: piwowarzy domowi,piwowarzy domowi,hobby,checklist inspekcji,checklist,0,0
protokół odbioru dla: piwowarzy domowi,piwowarzy domowi,hobby,protokół odbioru,checklist,0,0
lista BHP dla: piwowarzy domowi,piwowarzy domowi,hobby,lista BHP,checklist,0,0
karta kontroli jakości dla: piwowarzy domowi,piwowarzy domowi,hobby,karta kontroli jakości,checklist,0,0
planer projektu dla: piwowarzy domowi,piwowarzy domowi,hobby,planer projektu,planner,0,0
plan krok-po-kroku dla: piwowarzy domowi,piwowarzy domowi,hobby,plan krok-po-kroku,planner,0,0
organizator zadań dla: piwowarzy domowi,piwowarzy domowi,hobby,organizator zadań,planner,0,0
planer wydarzenia dla: piwowarzy domowi,piwowarzy domowi,hobby,planer wydarzenia,planner,0,0
harmonogram przygotowań dla: piwowarzy domowi,piwowarzy domowi,hobby,harmonogram przygotowań,planner,0,0
tracker terminów ważności dla: piwowarzy domowi,piwowarzy domowi,hobby,tracker terminów ważności,expiry,0,0
alert wygasania uprawnień dla: piwowarzy domowi,piwowarzy domowi,hobby,alert wygasania uprawnień,expiry,0,0
przypominacz przeglądów dla: piwowarzy domowi,piwowarzy domowi,hobby,przypominacz przeglądów,expiry,0,0
monitor dat odnowień dla: piwowarzy domowi,piwowarzy domowi,hobby,monitor dat odnowień,expiry,0,0
kalendarz obowiązków dla: piwowarzy domowi,piwowarzy domowi,hobby,kalendarz obowiązków,expiry,0,0
cennik usług dla: piwowarzy domowi,piwowarzy domowi,hobby,cennik usług,pricebook,0,0
książka cen dla: piwowarzy domowi,piwowarzy domowi,hobby,książka cen,pricebook,0,0
kalkulator marży dla: piwowarzy domowi,piwowarzy domowi,hobby,kalkulator marży,pricebook,0,0
tabela stawek dla: piwowarzy domowi,piwowarzy domowi,hobby,tabela stawek,pricebook,0,0
kosztorys materiałowy dla: piwowarzy domowi,piwowarzy domowi,hobby,kosztorys materiałowy,pricebook,0,0
fiszki/drill nauki dla: piwowarzy domowi,piwowarzy domowi,hobby,fiszki/drill nauki,flashcard,0,0
generator ćwiczeń dla: piwowarzy domowi,piwowarzy domowi,hobby,generator ćwiczeń,flashcard,0,0
trening powtórek dla: piwowarzy domowi,piwowarzy domowi,hobby,trening powtórek,flashcard,0,0
quiz tematyczny dla: piwowarzy domowi,piwowarzy domowi,hobby,quiz tematyczny,flashcard,0,0
karty pamięciowe dla: piwowarzy domowi,piwowarzy domowi,hobby,karty pamięciowe,flashcard,0,0
generator dokumentu dla: piwowarzy domowi,piwowarzy domowi,hobby,generator dokumentu,generator,0,0
generator etykiet do druku dla: piwowarzy domowi,piwowarzy domowi,hobby,generator etykiet do druku,generator,0,0
generator certyfikatów dla: piwowarzy domowi,piwowarzy domowi,hobby,generator certyfikatów,generator,0,0
generator planu dla: piwowarzy domowi,piwowarzy domowi,hobby,generator planu,generator,0,0
generator listy dla: piwowarzy domowi,piwowarzy domowi,hobby,generator listy,generator,0,0
losowanie z regułami dla: piwowarzy domowi,piwowarzy domowi,hobby,losowanie z regułami,randomizer,1,12
picker decyzji dla: piwowarzy domowi,piwowarzy domowi,hobby,picker decyzji,randomizer,1,12
rotacyjny wybór dla: piwowarzy domowi,piwowarzy domowi,hobby,rotacyjny wybór,randomizer,1,12
randomizer grupowy dla: piwowarzy domowi,piwowarzy domowi,hobby,randomizer grupowy,randomizer,1,12
koło wyboru dla: piwowarzy domowi,piwowarzy domowi,hobby,koło wyboru,randomizer,1,12
kalkulator podziału dla: piwowarzy domowi,piwowarzy domowi,hobby,kalkulator podziału,splitter,0,0
splitter kosztów/majątku dla: piwowarzy domowi,piwowarzy domowi,hobby,splitter kosztów/majątku,splitter,0,0
rozliczenie grupowe dla: piwowarzy domowi,piwowarzy domowi,hobby,rozliczenie grupowe,splitter,0,0
podział równościowy dla: piwowarzy domowi,piwowarzy domowi,hobby,podział równościowy,splitter,0,0
kalkulator wyrównań dla: piwowarzy domowi,piwowarzy domowi,hobby,kalkulator wyrównań,splitter,0,0
kalkulator rozmiaru/ilości dla: piwowarzy domowi,piwowarzy domowi,hobby,kalkulator rozmiaru/ilości,sizing,1,13
kalkulator metrażu dla: piwowarzy domowi,piwowarzy domowi,hobby,kalkulator metrażu,sizing,1,13
przelicznik zapotrzebowania dla: piwowarzy domowi,piwowarzy domowi,hobby,przelicznik zapotrzebowania,sizing,1,13
kalkulator porcji dla: piwowarzy domowi,piwowarzy domowi,hobby,kalkulator porcji,sizing,1,13
kalkulator wymiarów dla: piwowarzy domowi,piwowarzy domowi,hobby,kalkulator wymiarów,sizing,1,13
rotacja/planer cykliczny dla: piwowarzy domowi,piwowarzy domowi,hobby,rotacja/planer cykliczny,rotation,1,12
